"","sentiment","sentiment"
"X",0.100378264409662,0
"X0",-0.0756266785800965,0
"X1",-0.105800966953477,0
"X2",-0.103580421058278,0
"X3",-0.0921614642294517,0
"X4",-0.0587170719111524,0
"X5",-0.00860785642065596,0.186
"X6",0.139834277139686,0
"X7",0.061535895626761,0
"X8",0.0627017170144463,0
"X9",0.00682839029173911,0.295
"X10",0.109447417907767,0
"X11",-0.0570877210763342,0
"X12",0.0445156093357404,0
"X13",0.100455488066848,0
"X14",-0.0514009747697433,0
"X15",0.140751458264966,0
"X16",-0.0843357208041924,0
"X17",0.0603268671460204,0
"X18",0.0427860385549423,0
"X19",0.00365939018078177,0.574
"X20",-0.0161196397750927,0.013
"X21",-0.0142603573533712,0.029
"X22",-0.0345820412675842,0
"X23",0.0621794593932221,0
"X24",0.111623514891737,0
"X25",-0.0927513719004178,0
"X26",0.0410248638696064,0
"X27",-0.0878217146339963,0
"X28",-0.0529248455633968,0
"X29",0.0413469070059053,0
"X30",0.0983948333816732,0
"X31",0.00353835204235912,0.587
"X32",-0.0386220321173611,0
"X33",-0.0130741405612211,0.045
"X34",0.00210260849137786,0.747
"X35",-0.0958816213854278,0
"X36",0.00574382853076535,0.378
"X37",0.044552116559707,0
"X38",0.0779796784502813,0
"X39",-0.00468282175965431,0.472
"X40",-0.0919423544606051,0
"X41",0.101929431824091,0
"X42",0.0420367227953789,0
"X43",-0.101549172264351,0
"X44",-0.0609500920658712,0
"X45",-0.0121632938480515,0.062
"X46",0.00923842762646757,0.156
"X47",0.0914866105407951,0
"X48",0.019471469912799,0.003
"X49",-0.0849254515978781,0
"X50",-0.00314925974751801,0.629
"X51",0.0427013986373536,0
"X52",0.0374395456036008,0
"X53",-0.0278676246302621,0
"X54",-0.0724699841190913,0
"X55",-0.0358891720272169,0
"X56",0.132231548440121,0
"X57",0.115979162970354,0
"X58",0.033277784075935,0
"X59",-0.0893038953247768,0
"X60",0.0719645683585746,0
"X61",0.0198393340749833,0.002
"X62",0.0937976094191417,0
"X63",-0.0116541634030882,0.074
"X64",-0.00154787167942829,0.812
"X65",-0.00162905396785941,0.803
"X66",-0.0133018062389716,0.041
"X67",0.0803495253568766,0
"X68",-0.0118982518567492,0.068
"X69",0.0471522753137115,0
"X70",0.00920347718995483,0.158
"X71",-0.000520404210969254,0.936
"X72",-0.0232988149842479,0
"X73",0.0985136271868832,0
"X74",-0.0174542542610924,0.007
"X75",-0.00955801566891438,0.142
"X76",0.0590031739095941,0
"X77",0.0205525986754014,0.002
"X78",0.00923250846143796,0.156
"X79",0.133582410079237,0
"X80",0.0126580687032186,0.052
"X81",-0.0380324974835017,0
"X82",0.115208346624891,0
"X83",-0.0924012859638177,0
"X84",0.000582112823160405,0.929
"X85",0.0303787989045514,0
"X86",0.0530739221292267,0
"X87",0.0292380210053104,0
"X88",0.135290968272141,0
"X89",0.104496906218644,0
"X90",0.105424152492592,0
"X91",0.0351197365677716,0
"X92",-0.068100373460829,0
"X93",0.0749411888627689,0
"X94",-0.00234666639349607,0.719
"X95",0.120658300218336,0
"X96",0.0399612920771358,0
"X97",-0.0318509345074013,0
"X98",0.126429588685039,0
"X99",-0.0632772008720177,0
"X100",-0.016193934041671,0.013
"X101",0.112667912132463,0
"X102",0.126740214079385,0
"X103",0.132728108119188,0
"X104",0.0624664534454187,0
"X105",0.00355388974648208,0.585
"X106",0.0665246299477485,0
"X107",0.125758864079205,0
"X108",-0.0665155071312087,0
"X109",0.0590261411103725,0
"X110",-0.0510514509654945,0
"X111",0.00958462893766744,0.141
"X112",-0.0716001289763394,0
"X113",0.070082943786869,0
"X114",0.138471913705331,0
"X115",0.12672899363828,0
"X116",0.00996886993031479,0.126
"X117",-0.0419608341695829,0
"X118",0.0454588657989975,0
"X119",-0.0852310579655372,0
