"","sentiment","sentiment"
"X",-0.0184500856797156,0.006
"X0",0.0423768323317711,0
"X1",0.0699646575741974,0
"X2",0.0601687946543342,0
"X3",0.00798578136409664,0.236
"X4",0.0200427952493244,0.003
"X5",-0.00550809576475978,0.414
"X6",-0.0278821449686828,0
"X7",0.0652279034200229,0
"X8",0.0101635212829378,0.131
"X9",0.00405332630764266,0.547
"X10",0.0416590357117993,0
"X11",-0.00524813361253686,0.436
"X12",0.0174141407003364,0.01
"X13",0.0964421525832241,0
"X14",-0.0313172712961243,0
"X15",0.0491852724337454,0
"X16",0.0805792020957903,0
"X17",0.0896710317129481,0
"X18",-0.0281013006874713,0
"X19",0.0107114712225036,0.112
"X20",-0.0108840026029605,0.106
"X21",0.0481527357501427,0
"X22",-0.0259890080227665,0
"X23",-0.0149109344371156,0.027
"X24",-0.00380775726108195,0.572
"X25",-0.014169193507416,0.035
"X26",0.00254890908488175,0.705
"X27",0.0812620049193489,0
"X28",-0.0321746045057498,0
"X29",0.0216168869268767,0.001
"X30",0.0354693240930681,0
"X31",-0.0123701465879018,0.066
"X32",-0.0128078098789404,0.057
"X33",-0.0276412674212219,0
"X34",-0.0291062420827423,0
"X35",0.0165075092998127,0.014
"X36",0.00955015009620085,0.156
"X37",0.0279043237943016,0
"X38",0.0255959753119185,0
"X39",0.0145843336823479,0.03
"X40",-0.0278872691707101,0
"X41",0.0886709144633558,0
"X42",-0.000585045964368251,0.931
"X43",-0.000370987811005331,0.956
"X44",-0.011927980464061,0.077
"X45",0.0412492190796476,0
"X46",-0.0312664047793682,0
"X47",-0.0110854456975098,0.1
"X48",0.0447356725285912,0
"X49",0.0633306684520752,0
"X50",0.0971592021448398,0
"X51",0.00352866590903151,0.6
"X52",0.0572982476145108,0
"X53",-0.0150347112959596,0.026
"X54",0.0739150058141635,0
"X55",0.0673696469688364,0
"X56",0.0449733003968429,0
"X57",-0.0048622025453306,0.47
"X58",0.0272566450081799,0
"X59",0.0423267467834826,0
"X60",0.0494007181443543,0
"X61",-0.0164507237143047,0.015
"X62",-0.00676129413860271,0.316
"X63",0.0168830901299556,0.012
"X64",0.00503899318772506,0.454
"X65",0.00821055861435687,0.223
"X66",0.00619558577756007,0.358
"X67",0.0126558972973938,0.06
"X68",-0.00118769699849132,0.86
"X69",0.011692509279826,0.083
"X70",-0.0148412991156341,0.028
"X71",-0.0111778114012313,0.097
"X72",0.0610963317178158,0
"X73",0.070899855672831,0
"X74",0.0319114216810948,0
"X75",0.0197267825871582,0.003
"X76",0.0766489079493671,0
"X77",0.0205059354903398,0.002
"X78",0.0534762962425993,0
"X79",0.00332355918056955,0.622
"X80",0.0793467878349112,0
"X81",0.0819224880131687,0
"X82",0.0728801056448774,0
"X83",0.0864376785269219,0
"X84",0.095190069154006,0
"X85",0.0102786444402951,0.127
"X86",0.0247930631627656,0
"X87",0.0662193255380184,0
"X88",-0.0303430996493637,0
"X89",0.0870366568936488,0
"X90",0.0385365224286668,0
"X91",-0.0285548180253174,0
"X92",0.0509337849484104,0
"X93",0.0187921076991105,0.005
"X94",-0.0290395484915127,0
"X95",0.0731721819581267,0
"X96",0.05710539497795,0
"X97",-0.0272899601159959,0
"X98",-0.0255150153870038,0
"X99",-0.0285305445347466,0
"X100",0.0678780010614772,0
"X101",0.01991534000399,0.003
"X102",0.0134895528291454,0.045
"X103",0.0216096136349985,0.001
"X104",-0.00319784220054326,0.635
"X105",0.0828210684269644,0
"X106",0.0461917588523033,0
"X107",0.0136924036547091,0.042
"X108",-2.13498689183133e-05,0.997
"X109",-0.0306850224039398,0
"X110",-0.0212589469913391,0.002
"X111",0.0588977101315766,0
"X112",0.00778834375044951,0.248
"X113",0.0176788916164429,0.009
"X114",0.037254600870566,0
"X115",0.0347834573049319,0
"X116",0.0106384700438709,0.114
"X117",0.0249423678704659,0
"X118",0.0158702527137313,0.018
"X119",-0.0234960180325377,0
"X120",0.0907031765826599,0
"X121",0.00252402193068737,0.708
"X122",0.079039894748727,0
"X123",0.0355999318754594,0
"X124",0.0267315067346858,0
"X125",0.0306231565097816,0
"X126",0.0226232180557976,0.001
"X127",0.00139038539845061,0.836
"X128",0.0306371250668602,0
"X129",0.0599555483229946,0
"X130",0.0823502072748358,0
"X131",0.0172583912314461,0.01
"X132",0.0675156668353342,0
"X133",-0.0275689792555817,0
"X134",0.0279610191562685,0
"X135",0.0840260907622224,0
"X136",-0.0179836190239312,0.008
"X137",-0.0215271829184167,0.001
"X138",0.0797363552754298,0
"X139",0.042324436738494,0
"X140",0.0703391644494449,0
"X141",-0.0254190673074567,0
"X142",-0.0217260814013827,0.001
"X143",0.0363635280748799,0
"X144",-0.0119479406965408,0.076
"X145",0.0170775129007561,0.011
"X146",0.0674875853509412,0
"X147",0.000704644934049942,0.917
"X148",0.02556847127498,0
"X149",0.00873213248204307,0.195
"X150",0.0900980620620513,0
"X151",0.0107577892758971,0.11
"X152",-0.0181595253403698,0.007
"X153",0.0144453971084819,0.032
"X154",0.0709013445690151,0
"X155",-0.0232810394579646,0.001
"X156",0.0279355184252613,0
"X157",-0.0276905724439478,0
"X158",0.0947262823148289,0
"X159",0.0574889436330445,0
