"","sentiment","sentiment"
"X",0.0992975061351794,0
"X0",0.111319091380564,0
"X1",0.0068679395463259,0.283
"X2",-0.00661698069682671,0.301
"X3",0.00500646643918563,0.434
"X4",-0.00951779230344224,0.137
"X5",-0.0319382072291094,0
"X6",0.0182673243815593,0.004
"X7",0.127272737976893,0
"X8",0.0539182680729528,0
"X9",0.0040724367506776,0.525
"X10",0.0228200452033374,0
"X11",0.110188879733633,0
"X12",0.0525033150550189,0
"X13",-0.0270127343700088,0
"X14",0.0479861475345831,0
"X15",0.0323062454395699,0
"X16",0.0378443058253912,0
"X17",0.0108896323811638,0.089
"X18",0.0637817989910862,0
"X19",0.0214504350102366,0.001
"X20",0.0912634367580099,0
"X21",0.0381481832354433,0
"X22",-0.0137294211034449,0.032
"X23",0.0477196985365815,0
"X24",0.121938619595689,0
"X25",0.0227226032140342,0
"X26",0.0972805635185414,0
"X27",0.0926057034025433,0
"X28",0.0180898914310165,0.005
"X29",0.102757351272422,0
"X30",0.0505167967999476,0
"X31",0.00568813325017413,0.374
"X32",0.068381728569584,0
"X33",0.100727166630059,0
"X34",0.131886911100644,0
"X35",-0.020656156181937,0.001
"X36",-0.0244186377660145,0
"X37",0.100042499491307,0
"X38",0.111720252505925,0
"X39",0.0319343901258563,0
"X40",0.0230736668565963,0
"X41",0.146791989992202,0
"X42",0.120694210046323,0
"X43",0.155006809205688,0
"X44",0.137922834811437,0
"X45",0.0165541610089504,0.01
"X46",0.0546032691525645,0
"X47",0.0823452110177702,0
"X48",0.051088506231233,0
"X49",0.00572990556754728,0.371
"X50",0.0291531860631366,0
"X51",0.13541855117097,0
"X52",0.0552723476637734,0
"X53",0.0589149491626177,0
"X54",0.0358797971020184,0
"X55",0.06380587387846,0
"X56",0.020078856919686,0.002
"X57",0.015740540975979,0.014
"X58",0.0129971811296585,0.042
"X59",-0.00031512884644974,0.961
"X60",0.153151052548294,0
"X61",0.133669440921174,0
"X62",0.0685780187634828,0
"X63",0.0798079435618441,0
"X64",0.00327610987379687,0.609
"X65",0.0587154739252187,0
"X66",0.059824670597237,0
"X67",0.0574573561451569,0
"X68",0.14743925706252,0
"X69",-0.0275801433953683,0
"X70",0.0073243954420007,0.252
"X71",-0.0203400869731633,0.001
"X72",0.153725859227655,0
"X73",-0.0254284900973181,0
"X74",0.137944631838058,0
"X75",0.12332150070721,0
"X76",0.000963139047327835,0.88
"X77",0.107276842275404,0
"X78",-0.00737767482161072,0.249
"X79",0.00949432595019152,0.138
"X80",0.0334132117232325,0
"X81",0.0644681677003455,0
"X82",0.0207785869629697,0.001
"X83",-0.0140672432665627,0.028
"X84",0.06230336034911,0
"X85",0.0717815151968253,0
"X86",0.0372709930930045,0
"X87",0.0550179023635146,0
"X88",-0.00142689047421462,0.824
"X89",0.0189318380517065,0.003
"X90",0.0300365480486018,0
"X91",0.141172855173272,0
"X92",0.0324529075371518,0
"X93",0.0945028938579244,0
"X94",0.0858672470103827,0
"X95",0.0665704040262904,0
"X96",0.151932076277817,0
"X97",-0.0105588568740119,0.099
"X98",0.0948163101268126,0
"X99",0.122363564745435,0
"X100",0.0672390526068246,0
"X101",-0.000960850750603051,0.881
"X102",-0.00143465173005489,0.823
"X103",-0.020120687530392,0.002
"X104",0.0288128494365937,0
"X105",-0.0208132976207888,0.001
"X106",-0.0266384662261417,0
"X107",0.044094725606548,0
"X108",0.146442959115421,0
"X109",0.00652075202589193,0.308
"X110",0.00489413127970009,0.444
"X111",0.0071155047044322,0.266
"X112",0.0742823740123228,0
"X113",0.145368772174606,0
"X114",0.147519988225925,0
"X115",0.0187340681373599,0.003
"X116",0.071758566654395,0
"X117",0.0599900324416873,0
"X118",0.0191274362700461,0.003
"X119",0.0988016821967565,0
"X120",0.056666385798859,0
"X121",0.147285124596977,0
"X122",0.104980866058083,0
"X123",0.139464037966084,0
"X124",0.0134420722933992,0.036
"X125",0.132356943083758,0
"X126",0.0157515742296738,0.014
"X127",-0.0272182356804541,0
"X128",0.100276976659036,0
"X129",-0.0291017649150058,0
"X130",-0.0019885066009118,0.756
"X131",0.110333596458505,0
"X132",0.0142172359106964,0.026
"X133",0.0868338403612385,0
"X134",-1.10260844706178e-05,0.999
"X135",0.111445605863245,0
"X136",0.103879030092815,0
"X137",0.0804531990456943,0
"X138",-0.0214727201451829,0.001
"X139",0.118701359737603,0
