"","sentiment","sentiment"
"X",-0.0208313121124645,0.001
"X0",0.0553039565609821,0
"X1",0.0629844247699115,0
"X2",0.0140992460460471,0.03
"X3",-0.000616979063936096,0.924
"X4",0.0916756154710583,0
"X5",0.0261772647357913,0
"X6",0.06694953727185,0
"X7",0.0504903514744352,0
"X8",0.0158046201247952,0.015
"X9",0.0559425601151414,0
"X10",0.00574891050698995,0.376
"X11",0.0382444721899767,0
"X12",0.0852076080995769,0
"X13",0.0569388083950642,0
"X14",0.0204432345705522,0.002
"X15",0.0823265271876246,0
"X16",0.0248160517309989,0
"X17",0.0430679673677984,0
"X18",0.0680580341114517,0
"X19",0.0174739661723795,0.007
"X20",0.0164926936409537,0.011
"X21",0.0533239014812814,0
"X22",0.0152424753914964,0.019
"X23",0.0424347804405042,0
"X24",0.072989911526459,0
"X25",0.0437584317290455,0
"X26",0.0171374905456102,0.008
"X27",0.0526224755885629,0
"X28",0.0546880902896831,0
"X29",0.0295262247814231,0
"X30",0.0479889649580146,0
"X31",0.0340017719527487,0
"X32",0.0844949629074749,0
"X33",0.0393675146662899,0
"X34",0.0109198347244262,0.093
"X35",0.0457835966540197,0
"X36",0.0485210214949558,0
"X37",0.0318201498878949,0
"X38",0.0500151336301392,0
"X39",0.0053550036246671,0.409
"X40",0.0241203887867558,0
"X41",0.0558781120346939,0
"X42",0.0520869574026235,0
"X43",0.0243421243058736,0
"X44",0.0740299180665496,0
"X45",0.0583806737770247,0
"X46",0.0328164159621202,0
"X47",0.013967202165879,0.031
"X48",0.0181787527294294,0.005
"X49",0.0781992986006665,0
"X50",0.0639393644806932,0
"X51",0.0209003456670624,0.001
"X52",0.014414484299605,0.026
"X53",0.0122450679808633,0.059
"X54",0.013826874179026,0.033
"X55",0.0765702654150236,0
"X56",0.0325095077487597,0
"X57",0.0348026847828296,0
"X58",0.0243054914717315,0
"X59",0.0435347488161829,0
"X60",0.0604189201404982,0
"X61",0.0466241337646726,0
"X62",0.065076821502364,0
"X63",0.0117630781654167,0.07
"X64",0.0317162329104468,0
"X65",0.0687830238995047,0
"X66",0.0594857909037352,0
"X67",0.00417235155230319,0.52
"X68",0.0378618684803171,0
"X69",0.0476684589784905,0
"X70",0.0277212084490429,0
"X71",0.0204831655483952,0.002
"X72",0.0136713157346412,0.035
"X73",0.0146271378699334,0.024
"X74",0.0475647023002257,0
"X75",0.0316491928522522,0
"X76",0.0196385013277584,0.002
"X77",0.0396259130831386,0
"X78",0.0573257847971429,0
"X79",0.0219553719735567,0.001
"X80",0.0323800639575026,0
"X81",0.00840418133358821,0.195
"X82",-0.00502240063222086,0.439
"X83",0.0543025766400346,0
"X84",0.0102433929929208,0.115
"X85",0.0125409314963088,0.053
"X86",0.0139569670512513,0.032
"X87",0.0179934971259738,0.006
"X88",0.040988680238845,0
"X89",0.0163296954464447,0.012
"X90",0.0204361603669655,0.002
"X91",0.0107077157812602,0.099
"X92",0.0403205259178128,0
"X93",0.0104132042150505,0.109
"X94",0.0764845647088515,0
"X95",0.0396426558952521,0
"X96",0.0467471153333726,0
"X97",0.0238438496630591,0
"X98",0.0108512365093423,0.095
"X99",0.0773992859927381,0
"X100",0.0806701073362094,0
"X101",0.0344535222235406,0
"X102",0.0189987380066734,0.003
"X103",0.0768608273308977,0
"X104",0.0257973890742015,0
"X105",0.0246736958410136,0
"X106",0.0419100925014913,0
"X107",0.0417932594178352,0
"X108",0.00695618778266972,0.284
"X109",0.0324098374451707,0
"X110",0.0322525375017326,0
"X111",0.0564335883173359,0
"X112",0.023235120121909,0
"X113",0.069664167864845,0
"X114",0.0130564604011881,0.044
"X115",0.032322212653238,0
"X116",0.0146126253504424,0.024
"X117",0.0192224821650867,0.003
"X118",0.0800113173978913,0
"X119",0.0591760639967923,0
