"","V121","V121"
"V1",0.101880899783673,0
"V2",-0.0656607450611775,0
"V3",-0.0242029821939127,0
"V4",-0.041852390577481,0
"V5",0.2251556400778,0
"V6",-0.0231912663475958,0
"V7",0.141650717234971,0
"V8",0.203880892381725,0
"V9",0.00233157842805564,0.721
"V10",0.0677010633905224,0
"V11",0.107983684444966,0
"V12",-0.115506459510378,0
"V13",-0.0914388302045644,0
"V14",0.104939321845439,0
"V15",-0.084569759005171,0
"V16",0.0533684808154591,0
"V17",-0.18102032903723,0
"V18",-0.116075332860213,0
"V19",0.139825554523956,0
"V20",0.0155916227005939,0.017
"V21",0.131845403757074,0
"V22",0.0451001263547006,0
"V23",-0.16266849769458,0
"V24",0.0204731596821356,0.002
"V25",-0.0786853544693085,0
"V26",0.0528641740177542,0
"V27",0.161812811315068,0
"V28",0.0467378550392351,0
"V29",-0.195825324825549,0
"V30",0.0439959084160653,0
"V31",-0.190423771125453,0
"V32",0.00395847215745164,0.544
"V33",0.205522319316109,0
"V34",-0.0477074077808591,0
"V35",-0.217444636320651,0
"V36",0.117946632002206,0
"V37",0.0791389096647353,0
"V38",-0.142850508952783,0
"V39",-0.119847486578949,0
"V40",-0.0215959299981168,0.001
"V41",0.0795266299000253,0
"V42",-0.175489122644051,0
"V43",0.23934564136733,0
"V44",0.115710612071303,0
"V45",0.046121347620053,0
"V46",0.000137324269217461,0.983
"V47",-0.0589317947414253,0
"V48",-0.177646333176294,0
"V49",-0.0090499383050561,0.165
"V50",0.232443713815965,0
"V51",-0.128664419861441,0
"V52",-0.0381844144175316,0
"V53",-0.00857437699482038,0.188
"V54",-0.0516032389212261,0
"V55",-0.18100055409795,0
"V56",-0.0441442968707839,0
"V57",-0.145335534185559,0
"V58",0.209387815638493,0
"V59",-0.0129595538312271,0.047
"V60",0.128158997475972,0
"V61",0.0243735907117787,0
"V62",0.119624307897928,0
"V63",-0.0785064630943409,0
"V64",-0.126539989271049,0
"V65",0.250807251189132,0
"V66",-0.166973291083837,0
"V67",0.0185703642883225,0.004
"V68",0.117282704462015,0
"V69",-0.04600934566489,0
"V70",0.103624578741798,0
"V71",0.152108359196712,0
"V72",0.129941706723835,0
"V73",-0.182897389502336,0
"V74",0.243699520618231,0
"V75",-0.100158585095341,0
"V76",0.0832792379098442,0
"V77",-0.0375886905512246,0
"V78",0.132305239864436,0
"V79",-0.182129330249431,0
"V80",0.105609270503153,0
"V81",0.0784911046600471,0
"V82",-0.119667464334193,0
"V83",-0.103936209778731,0
"V84",-0.0211141183399944,0.001
"V85",0.0998830654815285,0
"V86",-0.304984884620497,0
"V87",0.16820282162069,0
"V88",0.147876812549315,0
"V89",0.176804935489384,0
"V90",-0.00138294677752438,0.832
"V91",-0.072660569259394,0
"V92",0.114617060985541,0
"V93",0.0575373100356504,0
"V94",0.176638804604601,0
"V95",0.0556385949422914,0
"V96",-0.000947149294186488,0.884
"V97",0.164087937945829,0
"V98",0.0125269197268929,0.055
"V99",0.0674652464755107,0
"V100",-0.119807264291326,0
"V101",-0.160514786745872,0
"V102",-0.0986246519189889,0
"V103",-0.0276172767525924,0
"V104",0.281928726648613,0
"V105",-0.183790868327627,0
"V106",-0.00154337746729123,0.813
"V107",-0.0883295190023027,0
"V108",-0.031714708355848,0
"V109",0.0368805521151018,0
"V110",-0.189771320385416,0
"V111",-0.0863648314105895,0
"V112",-0.0581654165111797,0
"V113",0.107627766101979,0
"V114",0.0083557065109307,0.2
"V115",-0.0582680200214764,0
"V116",0.238199336734123,0
"V117",0.0331849919015204,0
"V118",0.00945703614699733,0.147
"V119",-0.208034118655235,0
"V120",0.0144281716362646,0.027
