"","V141","V141"
"V1",-0.24210701308123,0
"V2",-0.113610724809006,0
"V3",-0.0441231394947963,0
"V4",-0.0651885836028965,0
"V5",-0.0783189889723514,0
"V6",0.00872588456479963,0.173
"V7",0.0783211784679941,0
"V8",0.0646979760159111,0
"V9",0.0492852549851115,0
"V10",0.146195995888406,0
"V11",-0.0176942922636257,0.006
"V12",0.135551821207822,0
"V13",0.105847181965737,0
"V14",0.0138784100641997,0.03
"V15",-0.153734706722442,0
"V16",0.0928324549494063,0
"V17",-0.0679429691214515,0
"V18",0.0152279567918283,0.017
"V19",-0.0449700072161292,0
"V20",0.11603246755288,0
"V21",0.349216979360593,0
"V22",0.152623274944279,0
"V23",0.0883851368032545,0
"V24",-0.118714847858064,0
"V25",0.0872254485411258,0
"V26",-0.157513425882492,0
"V27",0.182389088694623,0
"V28",0.00528367628839966,0.409
"V29",-0.0577302564522241,0
"V30",-0.00478188767699868,0.455
"V31",0.044171206222473,0
"V32",-0.144933255364693,0
"V33",-0.00438621662108204,0.493
"V34",0.114940478496024,0
"V35",0.0207390195010444,0.001
"V36",0.275705422181072,0
"V37",0.101845761905546,0
"V38",-0.054898494157655,0
"V39",0.0691192975504649,0
"V40",-0.0217469173285813,0.001
"V41",-0.216098665786565,0
"V42",-0.0385675570408447,0
"V43",-0.0102502406245439,0.109
"V44",0.149656347785366,0
"V45",0.055229808638313,0
"V46",-0.154934973637149,0
"V47",0.129887245660776,0
"V48",-0.00594897643439975,0.353
"V49",-0.0354665305721326,0
"V50",0.0745543993575158,0
"V51",-0.177669003181299,0
"V52",-0.0481872959034703,0
"V53",0.32075553574445,0
"V54",0.0293692231062567,0
"V55",0.159123318238679,0
"V56",0.101962272267015,0
"V57",0.0203172350604288,0.002
"V58",-0.0424935562744624,0
"V59",-0.0535343215991329,0
"V60",-0.0842235332418414,0
"V61",-0.119114270249849,0
"V62",0.0309989960828796,0
"V63",-0.0773642666956576,0
"V64",-0.0225136787026656,0
"V65",0.0580410626570285,0
"V66",0.129186446492088,0
"V67",-0.0130611735172318,0.041
"V68",0.00920266913596063,0.151
"V69",0.031888281633131,0
"V70",-0.0460879636913074,0
"V71",0.158309876817492,0
"V72",-0.0538184305537336,0
"V73",-0.0275923598123552,0
"V74",0.0226659800195739,0
"V75",0.175574444069638,0
"V76",-0.206033714879947,0
"V77",0.0561593225218402,0
"V78",-0.0400306948024182,0
"V79",0.0668192031845013,0
"V80",0.0879188910044538,0
"V81",-0.0748198100193276,0
"V82",-0.110728720887755,0
"V83",-0.196828681088692,0
"V84",0.16491742434795,0
"V85",-0.0661965106237087,0
"V86",-0.198793665848217,0
"V87",-0.12161600256787,0
"V88",-0.136172046936857,0
"V89",0.183787592544823,0
"V90",-0.0381289864669682,0
"V91",0.077024413181993,0
"V92",-0.187684778015782,0
"V93",-0.0961713190314694,0
"V94",0.139807748241524,0
"V95",-0.033927125379004,0
"V96",-0.110293040448127,0
"V97",-0.118812046867964,0
"V98",0.280534471594215,0
"V99",0.26361818011564,0
"V100",-0.0119556387806666,0.062
"V101",0.0248790492320578,0
"V102",-0.182123882385737,0
"V103",0.0980465198730048,0
"V104",0.150462753627221,0
"V105",-0.0152967945348358,0.017
"V106",-0.163709640164869,0
"V107",0.014039775893069,0.028
"V108",-0.0990347852229452,0
"V109",0.304693191356453,0
"V110",-0.0220016578482942,0.001
"V111",-0.0854594597422499,0
"V112",-0.0901826105494729,0
"V113",-0.314318520731286,0
"V114",0.00079532699390305,0.901
"V115",-0.0778293885533616,0
"V116",0.156535538741898,0
"V117",0.0851393554792827,0
"V118",-0.0391649098387321,0
"V119",-0.0433645522377782,0
"V120",-0.0321668292687992,0
"V121",0.0586405173707329,0
"V122",0.217420668659008,0
"V123",-0.226829646671064,0
"V124",-0.116758285358445,0
"V125",0.017509469638104,0.006
"V126",-0.255184797572072,0
"V127",-0.0355455275749223,0
"V128",0.148765792327641,0
"V129",0.232931975380281,0
"V130",0.0345259962272037,0
"V131",-0.0666376502058061,0
"V132",0.142690598767757,0
"V133",-0.0255392113616163,0
"V134",-0.00967155692617017,0.131
"V135",-0.0674815840029777,0
"V136",-0.126405246950228,0
"V137",0.0786746944344694,0
"V138",-0.155626854260252,0
"V139",-0.0391588084442077,0
"V140",-0.00455197603787436,0.477
