"","V121","V121"
"V1",-0.128630449806979,0
"V2",-0.0298112360886012,0
"V3",0.0211425667882786,0.001
"V4",0.0406749445763477,0
"V5",0.155559824054213,0
"V6",0.095428590956149,0
"V7",0.265834770928034,0
"V8",0.0914623729335543,0
"V9",0.173830885340755,0
"V10",0.19484917605347,0
"V11",0.0475753109526524,0
"V12",0.0952106183071215,0
"V13",0.148299662835805,0
"V14",0.0437672680434653,0
"V15",0.130948449493587,0
"V16",-0.111733049125723,0
"V17",-0.116251457387067,0
"V18",0.0651848208896369,0
"V19",-0.00447764069101258,0.491
"V20",0.0090838407295181,0.162
"V21",0.0540646514950937,0
"V22",-0.242711833363013,0
"V23",0.137663334897932,0
"V24",0.0871904822691695,0
"V25",0.0179814356170887,0.006
"V26",-0.0163578919868982,0.012
"V27",-0.0421014576977675,0
"V28",-0.0527921678917494,0
"V29",0.0171051699646505,0.008
"V30",-0.00825501231370239,0.204
"V31",-0.0345325031680208,0
"V32",-0.0172325820071622,0.008
"V33",0.0808279877654492,0
"V34",-0.0264957235591416,0
"V35",0.00662209137746556,0.308
"V36",0.102643609547897,0
"V37",-0.0828306162588267,0
"V38",-0.0417320866834214,0
"V39",-0.0159463919336426,0.014
"V40",0.154298461660486,0
"V41",-0.0253327846354019,0
"V42",0.180519000295538,0
"V43",0.0755276682133202,0
"V44",0.14529015949093,0
"V45",0.157927173152413,0
"V46",0.106173515134842,0
"V47",0.0558814777711164,0
"V48",0.0243626388407024,0
"V49",0.0163055289875564,0.012
"V50",0.142656161417701,0
"V51",-0.139341597327026,0
"V52",0.00358295696927622,0.581
"V53",-0.0986832351320062,0
"V54",0.0868444550868408,0
"V55",0.0486120769232601,0
"V56",0.0475517529570385,0
"V57",-0.114446547785449,0
"V58",-0.118786894313712,0
"V59",0.160916698093215,0
"V60",-0.0725739850801303,0
"V61",0.0168237131066635,0.01
"V62",0.0362313711945768,0
"V63",-0.164994770702776,0
"V64",-0.0946767237584719,0
"V65",0.0147975113202724,0.023
"V66",-0.137676995475908,0
"V67",-0.127727490191978,0
"V68",0.107520313506169,0
"V69",0.0887368505176249,0
"V70",0.088216035245761,0
"V71",0.0544401261719398,0
"V72",0.188865842899935,0
"V73",0.182593618352136,0
"V74",-0.1672325508251,0
"V75",0.00708690286884741,0.275
"V76",-0.0720748768185106,0
"V77",-0.0150689636788234,0.02
"V78",0.00201154687743124,0.757
"V79",-0.0385118157648009,0
"V80",-0.0455474570470884,0
"V81",0.0315844188831392,0
"V82",0.0987377397673128,0
"V83",-0.0913455313942693,0
"V84",0.12147894601899,0
"V85",0.000739981118071892,0.909
"V86",-0.232190434789456,0
"V87",0.0394293385043629,0
"V88",-0.10681796399148,0
"V89",0.107113372078038,0
"V90",-0.0249387848074595,0
"V91",0.0572032954886521,0
"V92",-0.100507450052108,0
"V93",0.212383499270687,0
"V94",-0.0519617485463598,0
"V95",-0.0319880866677232,0
"V96",0.129690942044597,0
"V97",0.206439847572102,0
"V98",0.111743711413348,0
"V99",-0.114931352978304,0
"V100",-0.0126218692357307,0.052
"V101",0.250956137496891,0
"V102",-0.00558901208019747,0.389
"V103",0.0818845638687322,0
"V104",0.00715702614929811,0.27
"V105",0.21484582992393,0
"V106",-0.0842147249881415,0
"V107",0.00603127520434889,0.353
"V108",-0.0585641674677478,0
"V109",0.110079063670031,0
"V110",-0.0845748869678385,0
"V111",-0.00202220916505649,0.756
"V112",-0.0257212773994346,0
"V113",-0.00907241357190538,0.162
"V114",0.0543548278709378,0
"V115",0.135722706765738,0
"V116",-0.0174401524243602,0.007
"V117",-0.104423492603525,0
"V118",-0.119879327522007,0
"V119",-0.0237902407368838,0
"V120",0.0548527735301766,0
